code,course_name,description
ECON401,Current Issues in American Economic Policy,"Prerequisite: 1 course with a minimum grade of C- from (ECON305, ECON325); and 1 course with a minimum grade of C- from (ECON306, ECON326); and 1 course with a minimum grade of C- from (ECON424, ECON422).  Restriction: Must be in Economics Bachelor of Arts program."
ECON402,Macroeconomic Models and Forecasting,"Prerequisite: 1 course with a minimum grade of C- from (ECON305, ECON325); and 1 course with a minimum grade of C- from (ECON230, BMGT230, ECON321).  Restriction: Must be in Economics Bachelor of Arts program."
ECON406,Advanced Microeconomics,"Prerequisite: Minimum grade of C- in ECON326; and 1 course with a minimum grade of C- from (ECON321, STAT400).  Restriction: Must be in Economics Bachelor of Science program."
ECON407,Advanced Macroeconomics,"Prerequisite: Minimum grade of C- in ECON325; and 1 course with a minimum grade of C- from (ECON321, STAT400).  Restriction: Must be in Economics Bachelor of Science program."
ECON414,Game Theory,"Prerequisite: 1 course with a minimum grade of C- from (ECON306, ECON326); and 1 course with a minimum grade of C- from (ECON230, BMGT230, ECON321, STAT400).  Restriction: Must be in one of the following programs (Economics Bachelor of Arts; Economics Bachelor of Science).  Credit only granted for: CMSC474, ECON414, GVPT399A or GVPT390."
ECON416,Analysis of Economic Development,"Prerequisite: Minimum grade of C- in ECON325, ECON326, and ECON422. Restriction: Must be in Economics Bachelor of Science program.  Credit only granted for: ECON315 or ECON416."
ECON422,Econometrics I,"Prerequisite: 1 course with a minimum grade of C- from (ECON325, ECON326); and 1 course with a minimum grade of C- from (STAT400, ECON321).  Restriction: Must be in Economics Bachelor of Science program.  Credit only granted for: ECON422, ECON424, AREC422, or AREC489F."
ECON423,Econometrics II,Prerequisite: Minimum grade of C- in ECON422.  Restriction: Must be in Economics Bachelor of Science program.
ECON424,Applied Econometrics,"Prerequisite: 1 course with a minimum grade of C- from (ECON305, ECON306, ECON325, ECON326); and 1 course with a minimum grade of C- from (ECON230, BMGT230, ECON321).  Restriction: Must be in Economics Bachelor of Arts program.  Credit only granted for: ECON422 or ECON424."
ECON426,Economics of Cost-Benefit Analysis,"Prerequisite: 1 course with a minimum grade of C- from (ECON305, ECON306, ECON325, ECON326); and 1 course with a minimum grade of C- from (ECON230, BMGT230, ECON321).  Restriction: Must be in Economics Bachelor of Arts program."
ECON427,Experimental Economics,"Prerequisite: Minimum grade of C- in ECON326; and 1 course with a minimum grade of C- from (ECON321, STAT400).  Restriction: Must be in Economics Bachelor of Science program."
ECON434,The Economics of Information and Uncertainty,"Prerequisite: 1 course with a minimum grade of C- from (ECON306, ECON326); and 1 course with a minimum grade of C- from (ECON230, BMGT230, ECON321, STAT400).  Restriction: Must be in one of the following programs (Economics Bachelor of Arts; Economics Bachelor of Science).  Credit only granted for: ECON498U or ECON434.  Formerly: ECON498U."
ECON435,Financial Markets and the Macroeconomy,"Prerequisite: 1 course with a minimum grade of C- from (ECON305, ECON325); and 1 course with a minimum grade of C- from (ECON306, ECON326); and 1 course with a minimum grade of C- from (ECON230, BMGT230, ECON321).  Restriction: Must be in Economics Bachelor of Arts program; and must not have completed BMGT343.  Credit only granted for: BMGT343 or ECON435.  Additional information: Finance majors will not receive credit for ECON435."
ECON436,Financial Econometrics,Prerequisite: Minimum grade of C- in ECON325 and ECON422.  Restriction: Must be in Economics Bachelor of Science program.
ECON442,Globalization and Capital Markets,"Prerequisite: Minimum grade of C- in ECON326 and ECON325; and 1 course with a minimum grade of C- from (ECON321, STAT400).  Restriction: Must be in Economics Bachelor of Science program; and must not have completed ECON441.  Credit only granted for: ECON441 or ECON442."
ECON444,Research in Globalization,Prerequisite: Minimum grade of C- in ECON326 and ECON422.  Restriction: Must be in Economics Bachelor of Science program.  Credit only granted for: ECON498G or ECON444.  Formerly: ECON498G.
ECON455,Economics of Education Policy,"Prerequisite: 1 course with a minimum grade of C- from (ECON306, ECON326); and 1 course with a minimum grade of C- from (ECON230, BMGT230, ECON321). Restriction: Must be in Economics Bachelor of Arts program. Credit only granted for: ECON468E or ECON455. Formerly: ECON468E."
ECON456,Law and Economics,"Prerequisite: 1 course with a minimum grade of C- from (ECON306, ECON326); and 1 course with a minimum grade of C- from (ECON230, BMGT230, ECON321).  Restriction: Must be in Economics Bachelor of Arts program."
ECON463,Economics of Sports,"Prerequisite: 1 course with a minimum grade of C- from (ECON306, ECON326); and 1 course with a minimum grade of C- from (ECON230, BMGT230, ECON321, STAT400).  Restriction: Must be in Economics Bachelor of Arts program."
ECON471,Labor Markets,"Prerequisite: 1 course with a minimum grade of C- from (ECON306, ECON326); and minimum grade of C- in ECON424.  Restriction: Must be in Economics Bachelor of Arts program.  Credit only granted for: ECON470 or ECON471."
ECON472,Economics of Social Safety Nets,"Prerequisite: 1 course with a minimum grade of C- from (ECON306, ECON326); and minimum grade of C- in ECON424.  Restriction: Must be in Economics Bachelor of Arts program."
ECON481,Environmental Economics,"Prerequisite: 1 course with a minimum grade of C- from (AREC326, ECON306, ECON326); and 1 course with a minimum grade of C- from (ECON230, ECON321, BMGT230). Restriction: Must be in one of the following programs (Agricultural and Resource Economics; Agricultural and Resource Economics: Agribusiness; Environmental Science & Policy-Env Economics; Agricultural and Resource Economics: Environmental and Resource Economics; Economics Bachelor of Arts program). Cross-listed with: AREC481. Credit only granted for: ECON481 or AREC481."
ECON602,Macroeconomic Analysis II,Prerequisite: ECON601; or permission of BSOS-Economics department.
ECON604,Microeconomic Analysis II,Prerequisite: ECON603.  Restriction: Permission of BSOS-Economics department.
ECON613,Origins and Development of Capitalism,"Institutions and technology shaping pre-capitalist economies: Archaic, Greek and Roman, Feudal, and Mercantile. Rise of the market system, national economies, and capitalism. The nature of industrial society. Imperialism."
ECON615,Development Economics I,Prerequisite: ECON603; or permission of BSOS-Economics department.
ECON624,Econometrics II,Prerequisite: ECON623; or permission of BSOS-Economics department.
ECON636,Behavioral Economics,Prerequisite: ECON603 and ECON604; and permission of BSOS-Economics department.
ECON641,Microeconomic Analysis,Restriction: Must be in M.Prof.Studies: Applied Economics program; or permission of BSOS-Economics department.  Credit only granted for: ECON641 or ECON506.  Formerly: ECON506.
ECON643,Empirical Analysis I: Foundations of Empirical Research,Credit only granted for: ECON643 or ECON521.  Formerly: ECON521.
ECON644,Empirical Analysis II: Introduction to Economic Models,Prerequisite: ECON643.
ECON645,Empirical Analysis III: Econometric Modeling and Forecasting,Prerequisite: ECON644.  Credit only granted for: ECON645 or ECON523. Formerly: ECON523.
ECON664,Empirical Studies in Industrial Organization,"Prerequisite: ECON603, ECON604, and ECON624.  Credit only granted for: ECON664 or ECON698J.  Formerly: ECON698J."
ECON670,Financial Economics,Prerequisite: ECON641; and must have completed or be concurrently enrolled in ECON644.  Restriction: Must be in M.Prof.Studies: Applied Economics program.
ECON673,"Information, Game Theory and Market Design",Prerequisite: ECON641; and must have completed or be concurrently enrolled in ECON644.
ECON674,Economic Analysis of Law,Prerequisite: ECON641; and must have completed or be concurrently enrolled in ECON644.
ECON676,Economic Development,Prerequisite: ECON641; and ECON642; and must have completed or be concurrently enrolled in ECON644.  Restriction: Must be in M.Prof.Studies: Applied Economics program.
ECON683,International Macroeconomics and Finance,Prerequisite: ECON641 and ECON642; and must have completed or be concurrently enrolled in ECON644.  Restriction: Must be in M.Prof.Studies: Applied Economics program.
ECON684,Applied Time Series Analysis and Forecasting,Prerequisite: ECON642; and ECON645.  Restriction: Must be in M.Prof.Studies: Applied Economics program.
ECON702,Advanced Macroeconomics II,Prerequisite: ECON602 and ECON601.
ECON704,Advanced Microeconomics II,Prerequisite: ECON604 and ECON603.
ECON722,Econometrics IV,Prerequisite: ECON624; or permission of BSOS-Economics department.
ECON741,Advanced International Economics I,Prerequisite: ECON601; or permission of BSOS-Economics department.
ECON743,Topics in International Finance,Prerequisite: ECON602; or permission of BSOS-Economics department. Recommended: ECON741.
ECON745,Advanced Topics in International Trade,Prerequisite: ECON604 and ECON624.  Credit only granted for: ECON698L or ECON745.  Formerly: ECON698L.
ECON752,Public Economics II,Prerequisite: ECON751.
ECON756,Empirical Political Economics,An introduction to empirical political economy. Determinants of individual political behavior and the impact of political rules on economic outcomes will both be analyzed. Modern applied econometric techniques will also be covered.
ECON772,Population Economics,Prerequisite: ECON771; or permission of BSOS-Economics department.
EDCP108I,College and Career Advancement: Concepts and Skills; Academic Transitions to Internships,"Restriction: Must not have completed EDCP310; and must not have completed PSYC433.  Credit only granted for: EDCP210, EDCP310, or PSYC433."
EDCP210,Peer Counseling Skills and Mental Health Advocacy,"Restriction: Must not have completed EDCP310; and must not have completed PSYC433.  Credit only granted for: EDCP210, EDCP310, or PSYC433."
EDCP386,Experiential Learning,"Restriction: Permission of EDUC-Counseling, Higher Education and Special Education department; and sophomore standing or higher."
EDCP612,Multicultural Issues in Counseling and Personnel Services,"Restriction: Permission of EDUC-Counseling, Higher Education and Special Education department."
EDCP614,Counseling Skills: Introduction to Practicum,Corequisite: EDCP616.
EDCP621,Practicum in School Counseling,"Prerequisite: EDCP616.  Restriction: Permission of EDUC-Counseling, Higher Education and Special Education department.  Credit only granted for: EDCP619D or EDCP621.  Formerly: EDCP619D."
EDCP625,Counseling the Chemically Dependent,Restriction: Must be in the School Counseling program; or permission of instructor.
EDCP630,School-Based Behavioral Interventions,Restriction: Permission of instructor; and must be in a major in EDUC-College of Education.
EDCP633,Diagnostic Appraisal of Children I,Prerequisite: EDCP632.
EDCP635,School Consultation I,Restriction: Must be in the School Counseling program; or must be in the School Psychology program; or permission of instructor.
EDCP651,Group Counseling in Schools,Prerequisite: EDCP616; and for school counseling and school psychology students only.  Restriction: Permission of instructor.
EDCP680,Basic Didactic Practicum in Counseling Psychology,Prerequisite: For Counseling Psychology majors only.  Formerly: PSYC776.
EDCP686,Counseling Psychology Didactic Practicum in Career Interventions,Prerequisite: For Counseling Psychology majors only.  Formerly: EDCP777.
EDCP690,Research in Counseling Psychology I,Prerequisite: For Counseling Psychology majors only.  Cross-listed with PSYC690.  Formerly: EDCP778.
EDCP693,Assessment in Counseling Psychology ii,Prerequisite: For Counseling Psychology majors only.  Formerly: EDCP789F.
EDCP776,Social Justice in Student Affairs and Higher Education,Prerequisite: EDCP771 or EDCP741; or permission of instructor. Restriction: Limited to college student personnel students only.
EDCP797,Capstone Course: Program Planning,Restriction: Must be in the School Counseling program.  Credit only granted for: EDCP789T or EDCP797.  Formerly: EDCP789T.
EDCP870,Professional Issues Seminar,Credit only granted for: EDCP656 or EDCP870.  Formerly: EDCP656.
EDHD201,Learning How to Learn,"Immerses students in the theoretical and empirical study of learning by engaging them in orchestrated experiences and activities drawn directly from the disciplinary research.  Students achieve deep understanding of their own learning, as well as the means of enhancing that learning both in school and out-of-school contexts."
EDHD201,Learning How to Learn,"Immerses students in the theoretical and empirical study of learning by engaging them in orchestrated experiences and activities drawn directly from the disciplinary research.  Students achieve deep understanding of their own learning, as well as the means of enhancing that learning both in school and out-of-school contexts."
EDHD210,Foundations of Early Childhood Education,Restriction: Permission of EDUC-Human Development and Quantitative Methodology department.
EDHD220,Exploring Early Childhood General and Special Education,Restriction: Permission of EDUC-Human Development and Quantitative Methodology department.
EDHD221,Aggression and Violence in Everyday Life: Can Violence Be Prevented?,"History of aggression and violence in the world and in the United States. Examines the extent to which various forms are prevalent today and scientifically supported prevention strategies. Methods of studying aggression are reviewed, as are theories and methods of preventing aggression and violence."
EDHD231,"Inside 21st Century Creativity:  How Creative Ideas, Concepts, and Products are Generated","Mechanisms of the creative mind. Psychological, social, sociological, developmental, cultural, educational, genetic and neural based roots of creativity."
EDHD306,Research Methods in Human Development,"Addresses the scientific concepts and principles central to the study of human behavior and development. Students will learn about basic research methods in studying human behavior in developmental context and will participate in experiential activities, such as conducting observations and collecting self-report data. Major themes: goals of developmental research, fundamental research designs, types of measurement, elements of good scientific writing, and ethical issues in the study of human development."
EDHD320,Human Development Through the Life Span,"Central concepts related to parameters of human development, individual and social, which arise throughout the life span. Continuity and change within the developing individual."
EDHD386,Experiential Learning,Restriction: Permission of EDUC-Human Development and Quantitative Methodology department; and junior standing or higher.
EDHD402,Social Development,Recommended: EDHD411.
EDHD411,Child Growth and Development,"Theoretical approaches to and empirical studies of physical, psychological and social development from conception to puberty. Implications for home, school and community."
EDHD412,Infant Development,"Infant development across domains, including perceptual, motor, cognitive, language, social and emotional functioning from pre-natal through third year of life."
EDHD413,Adolescent Development,"Adolescent development, including special problems encountered in contemporary culture. Observational component and individual case study."
EDHD415,Promoting the Social-Emotional Competence of Young Children in Inclusive Classrooms,"Prerequisite: EDHD314 and EDHD425; and (EDHD419 or EDSP420). Corequisite: EDSP423, EDSP424, and EDHD431.  Restriction: Must be in the Professional Early Childhood/Early Childhood Special Education program; and junior standing or higher; and minimum cumulative GPA of 2.75."
EDHD420,Cognitive Development and Learning,"Prerequisite: EDHD320, EDHD411, PSYC341, or PSYC355; or permission of EDUC-Human Development and Quantitative Methodology department."
EDHD424,"Culture, School & Community: Contexts for Learning (PreK-3rd)","Prerequisite: EDHD425 and EDHD314; and (EDHD419 or EDSP420). Corequisite: EDSP315, EDHD431, EDHD415, and EDSP423.  Restriction: Must be in the Professional Early Childhood/Early Childhood Special Education program; and junior standing or higher; and minimum cumulative GPA of 2.75."
EDHD425,Language Development and Reading Acquisition,This course focuses on young children's language development and the relationship between language and reading acquisition. Students will learn: concepts central to language development; language achievements at different ages; concepts of emergent literacy; models of reading acquisition and skilled reading.
EDHD426,Cognitive and Motivational Literacy Content,"Students preparing for secondary teaching will learn about the cognitive and motivational aspects of literacy and learning from text for the content areas of literature, science, history and mathematics. Different evidenced-based literacy approaches appropriate for content learning are presented. Characteristics of learning environments that enable students to engage productively with diverse texts, disciplinary tasks, and technological resources in content areas are identified."
EDHD431,"Child Development and Learning, Three to Eight Years","Prerequisite: Minimum grade of C- in EDHD314 and EDHD425; and 1 course with a minimum grade of C- from (EDHD419, EDSP420).  Corequisite: EDSP423 and EDSP315; and TRACK I: Must be concurrently enrolled in EDSP430, EDSP433; or TRACK 2: Must be concurrently enrolled in EDHD415, EDHD424."
EDHD432,Internship in EC/ECSE,"Prerequisite: EDHD323, EDHD322, EDSP417, EDHD441, EDHD442, EDHD443, EDHD444, and EDSP321.  Corequisite: EDHD437.  Restriction: Must be in Early Childhood and Early Childhood Special Education program; and senior standing or higher."
EDHD436,Cognition and Motivation in Content Area Literacy for Middle-School Students,"Cognitive and motivational processes of literacy and learning from texts across subjects. Structured approaches to using reading, writing, and speaking for content learning based on approaches to knowledge, motivation, and strategies. Classroom contexts that enable middle-school students to engage with diverse texts and Internet resources are provided"
EDHD437,EC/ECSE Teachers as Researchers and Reflective Practitioners,"Prerequisite: Minimum grade of C- in EDHD322, EDHD323, EDSP321, EDSP417, EDHD441, EDHD442, EDHD443, and EDHD444.  Corequisite: EDHD432."
EDHD460,Educational Psychology,Prerequisite: PSYC100; or permission of EDUC-Human Development and Quantitative Methodology department.
EDHD760,Advanced Educational Psychology,"Prerequisite: Prior course in educational psychology, learning, or cognition; or permission of EDUC-Human Development and Quantitative Methodology department."
EDHD775,Human Development and Neuroscience,Prerequisite: EDHD601; or permission of EDUC-Human Development and Quantitative Methodology department.
EDHD780,Research Methods in Human Development,Prerequisite: EDMS651; or permission of EDUC-Human Development and Quantitative Methodology department.
EDHD835,The Development of Achievement Motivation,Prerequisite: EDHD830 or EDHD721; or permission of EDUC-Human Development and Quantitative Methodology department.
EDHD840,Language and Literacy Development,Content of this course is current theoretical and empirical research on children's language developments and on the linguistic basis of beginning reading.
EDHD850,Social Cognition and Moral Reasoning,"Theory and research on social-cognition development and moral development, from infancy to adolescence will be covered."
EDHI489,Field Experiences in Education,"Credit only granted for: EDHI607, EDPL607, or EDPS607.  Formerly: EDPL607."
EDHI607,Culture and Education in a Global Context,"Credit only granted for: EDHI607, EDPL607, or EDPS607.  Formerly: EDPL607."
EDHI653,Organization and Administration of Higher Education,"Credit only granted for: EDHI653, EDPL653, or EDPS653.  Formerly: EDPL653."
EDHI664,The College Experience,"Restriction: Permission of instructor. And must be in a major within EDUC-Counseling, Higher Education and Special Education department; or must be in a major within EDUC-Education Policy and Leadership department; or must be in a major within EDUC-Teaching, Learning, Policy and Leadership department.  Credit only granted for: EDHI664, EDPL664, or EDPS664.  Formerly: EDPL664."
EDHI684,"Alternative Education, Alternative Development",Recommended: EDHI606.  Credit only granted for: EDHI684 or EDHI788D. Formerly: EDHI788D.
EDHI750,International Higher Education,"Credit only granted for: EDHI750, EDPL750, or EDPS750.  Formerly: EDPL750."
EDHI752,State Systems of Higher Education,"Credit only granted for: EDHI752, EDPL752, or EDPS752.  Formerly: EDPL752."
EDHI754,Higher Education Finance,"Credit only granted for: EDHI754, EDPL754, or EDPS754.  Formerly: EDPL754."
EDHI805,Seminar in Comparative Education,"Credit only granted for: EDHI805, EDPL805, or EDPS805.  Formerly: EDPL805."
EDHI853,Leadership in Higher Education,"Prerequisite: EDHI653.  Credit only granted for: EDHI853, EDPL853, or EDPS853.  Formerly: EDPL853."
EDMS451,Introduction to Educational Statistics,"Restriction: Sophomore standing or higher.  Credit only granted for: BIOM301, BMGT230, CCJS200, ECON230, ECON321, EDMS451, GEOG306, GEOL351, GVPT422, INST314, JOUR405, PSYC200 or SOCY201. (These courses do not necessarily meet the same major requirements-check with your advisor to see which of these courses will count for your major)."
EDMS451,Introduction to Educational Statistics,"Restriction: Sophomore standing or higher.  Credit only granted for: BIOM301, BMGT230, CCJS200, ECON230, ECON321, EDMS451, GEOG306, GEOL351, GVPT422, INST314, JOUR405, PSYC200 or SOCY201. (These courses do not necessarily meet the same major requirements-check with your advisor to see which of these courses will count for your major)."
EDMS626,Instrumentation,Prerequisite: EDMS623.
EDMS645,Quantitative Research Methods I,Research design and statistical applications in educational research: data representation; descriptive statistics; estimation and hypothesis testing. Application of statistical computer packages is emphasized.
EDMS646,General Linear Models I,Prerequisite: EDMS645; or an equivalent introductory statistics course.
EDMS647,Causal Inference and Evaluation Methods,Prerequisite: Must have completed or be concurrently enrolled in EDMS651.
EDMS651,General Linear Models II,Prerequisite: EDMS646; or students who have taken courses with comparable content may contact the department.
EDMS722,Structural Modeling,Prerequisite: EDMS657.
EDMS724,Modern Measurement Theory,Prerequisite: EDMS623 and EDMS651.
EDMS787,Bayesian Inference and Analysis,Prerequisite: EDMS651.  Credit only granted for: EDMS769B or EDMS787. Formerly: EDMS769B.
EDSP210,Introduction to Special Education,Restriction: Sophomore standing or lower.  Credit only granted for: EDSP210 or EDSP470.
EDSP210,Introduction to Special Education,Restriction: Sophomore standing or lower.  Credit only granted for: EDSP210 or EDSP470.
EDSP211,Introduction to Special Education,"Restriction: Sophomore standing or lower; and permission of EDUC-Counseling, Higher Education and Special Education department. Credit only granted for: EDSP210 or EDSP470."
EDSP220,"Disability in Community: Access, Accommodation, and Adaptation","Examines the concept of disability in a variety of community settings. Drawing on classic and contemporary readings in psychology, sociology and special education, the course will couple conceptual and historical understanding of disability with first-hand service-learning experiences in the community. Students will develop a plan in several phases that encompasses principles of Universal Design for Living/Learning (UDL) to study and participate in community-based activities."
EDSP315,Inclusive Instruction: Reading Methods II,Prerequisite: EDHD314 and EDHD425; and (EDHD419 or EDSP420). Corequisite: EDSP423 and EDHD431; and track 1: Must be concurrently enrolled in EDSP430 and EDSP433; OR Track 2: Must be concurrently enrolled in EDHD415 and EDHD424.
EDSP376,Fundamentals of Sign Language,"Receptive and expressive skills in American Sign Language. Examination of the causes of deafness, characteristics of deaf education, and aspects of the culture of the deaf community."
EDSP403,Instruction of Students with Physical Disabilities,Prerequisite: EDSP400 or EDSP602.  Jointly offered with EDSP603.  Credit     only granted for: EDSP403 or EDSP603.
EDSP410,Instruction of Students with Severe Disabilities II,Restriction: Must be in Special Education program.  Jointly offered with  EDSP614.  Credit only granted for: EDSP410 or EDSP614.
EDSP415,Assessment in Special Education,"Recommended: STAT100; or SOCY201.  Restriction: Must be in Special Education program.  Jointly offered with EDSP615.  Credit only granted f or: EDSP415, or EDSP615."
EDSP416,Reading and Writing Instruction in Special Education I,Restriction: Must be in Special Education program.  Jointly offered with  EDSP616.  Credit only granted for: EDSP416 or EDSP616.
EDSP423,Assessment in Early Childhood Special Education,Restriction: Must be in Special Education program.  Credit only granted for: EDSP423 or EDSP624.
EDSP430,Early Intervention: Early Childhood Special Education,Restriction: Must be in Special Education program.  Credit only granted for: EDSP430 or EDSP631.
EDSP433,Families and Culture in Early Intervention (Birth-5),"Prerequisite: EDHD314 and EDHD425; and (EDHD419 or EDSP420). Corequisite: EDSP430, EDSP315, and EDHD431."
EDSP470,Introduction to Special Education,Restriction: Must not have completed EDSP210.  Credit only granted for: EDSP210 or EDSP470.
EDSP476,Communicating with Sign Language,"Prerequisite: EDSP376.  Restriction: Permission of EDUC-Counseling, Higher Education and Special Education department."
EDSP485,Assessment and Instruction in Mathematics in Special Education,Restriction: Must be in Special Education program; or must be in one of the following programs (Special Education (Doctoral); Special Education (Master's)).  Jointly offered with EDSP683.  Credit only granted for:     EDSP485 or EDSP683.
EDSP490,Teacher Candidate Research Seminar in Special Education,Restriction: Must be in Special Education program.
EDSP495,Internship II: Elementary/Middle Special Education,Corequisite: EDSP490.  Restriction: Must be in Special Education program; or must be in one of the following programs (Special Education (Doctoral); Special Education (Master's)).  Jointly offered with EDSP695 .   Credit only granted for: EDSP 495 or EDSP 695.
EDSP600,Issues and Trends in Educating Individuals with Disabilities,"Prerequisite: 9 credits in EDSP courses.  Restriction: Permission of EDUC-Counseling, Higher Education and Special Education department."
EDSP603,Instruction of Students with Physical Disabilities,Restriction: Must be in Special Education (Doctoral) program; or must be in Special Education (Master's) program.  Jointly offered with EDSP40 3.  Credit only granted for: EDSP403 or EDSP603.
EDSP614,Instruction of Students with Severe Disabilities II,Restriction: Must be in Special Education (Master's) program.  Credit only granted for: EDSP410 or EDSP614.
EDSP615,Evaluation and Measurement of Exceptional Children and Youth,"Prerequisite: EDSP600 and EDMS646; or permission of EDUC-Counseling, Higher Education and Special Education department.  Jointly offered with  EDSP415.  Credit only granted for: EDSP415 or EDSP615."
EDSP616,Reading and Writing Instruction in Special Education I,Restriction: Must be in Special Education (Doctoral) program; or must be in Special Education (Master's) program.  Jointly offered with EDSP41 6.  Credit only granted for: EDSP416 or EDSP616.
EDSP670,Single Subject Research Designs,"Prerequisite: EDSP600.  Restriction: Permission of EDUC-Counseling, Higher Education and Special Education department."
EDSP675,Legal and Policy Foundations for Individuals with Disabilities,"Restriction: Permission of EDUC-Counseling, Higher Education and Special Education department."
EDSP683,Assessment and Instruction in Mathematics in Special Education,Restriction: Must be in Special Education (Doctoral) program; or must be in Special Education (Master's) program.  Jointly offered with EDSP48 5.  Credit only granted for: EDSP485 or EDSP683.
EDSP690,Teacher Candidate Research Seminar in Special Education,Restriction: Must be in Special Education (Doctoral) program; or must be in Special Education (Master's) program.
EDSP695,Graduate Internship II: Elementary/Middle Special Education,"Corequisite: EDSP690.  Recommended: Must be in Special Education (Master's) program EDSPM Special Education.  Restriction: Must be in Special Education (Master's) program.  Credit only granted for: EDSP495, EDSP695 or EDSP888A."
EDSP872,Theory and Empirical Design in Educational Research,"Prerequisite: EDMS645 and EDMS646; or permission of EDUC-Counseling, Higher Education and Special Education department.  Restriction: Must be in Special Education (Doctoral) program.  Credit only granted for: EDSP672 or EDSP872.  Formerly: EDSP672."
ENAE200,Aerospace Engineering Profession II,Recommended: ENAE100.  Restriction: Must be in Engineering: Aerospace program; or permission of ENGR-Aerospace Engineering department.
ENAE200,Aerospace Engineering Profession II,Recommended: ENAE100.  Restriction: Must be in Engineering: Aerospace program; or permission of ENGR-Aerospace Engineering department.
ENAE202,Computing Fundamentals for Engineers,Corequisite: Must be concurrently enrolled in MATH141.  Restriction: Permission of ENGR-Aerospace Engineering department.  Credit only granted for: ENAE202 or ENME202.
ENAE324,Aerospace Structures,Prerequisite: ENES220.  Restriction: Must be in Engineering: Aerospace program.
ENAE404,Space Flight Dynamics,Prerequisite: ENAE301.  Restriction: Must be in Engineering: Aerospace program; or permission of ENGR-Aerospace Engineering department.
ENAE414,Aerodynamics II,Prerequisite: ENAE311.  Restriction: Must be in Engineering: Aerospace program; or permission of ENGR-Aerospace Engineering department. And junior standing or higher.
ENAE420,Computational Structural Mechanics,Prerequisite: ENES220 and MATH241; and must have completed a course in linear algebra.  Restriction: Must be in Engineering: Aerospace program; or permission of ENGR-Aerospace Engineering department.
ENAE425,Mechanics of Composite Structures,"Prerequisite: MATH246, ENAE324, ENES220, and MATH241."
ENAE432,Control of Aerospace Systems,Prerequisite: Minimum grade of C- in ENAE301 and ENAE283.  Restriction: Junior standing or higher; and must be in Engineering: Aerospace program.
ENAE464,Aerospace Engineering Laboratory,"Prerequisite: ENAE324, ENAE362, ENAE311, and ENAE432.  Restriction: Must be in Engineering: Aerospace program; or permission of ENGR-Aerospace Engineering department."
ENAE471,Aircraft Flight Testing,Prerequisite: ENAE414.  Corequisite: ENAE403.  Restriction: Must be in Engineering: Aerospace program.
ENAE482,Aeronautical Systems Design,"Prerequisite: ENAE455, ENAE423, ENAE403, and ENAE481.  Restriction: Must be in Engineering: Aerospace program; and senior standing or higher."
ENAE484,Space Systems Design,"Prerequisite: ENAE423, ENAE483, ENAE441, and ENAE457.  Restriction: Must be in Engineering: Aerospace program."
ENAE633,Helicopter Dynamics,Prerequisite: ENAE631. Or permission of ENGR-Aerospace Engineering department; and permission of instructor.
ENAE634,Helicopter Design,Prerequisite: ENAE631. Or permission of ENGR-Aerospace Engineering department; and permission of instructor.
ENAE646,Advanced Dynamics of Aerospace Systems,Prerequisite: ENAE301.  Credit only granted for: ENAE788G or ENAE646. Formerly: ENAE788G.
ENAE652,Computational Structural Mechanics,"Restriction: Permission of instructor; and permission of ENGR-Aerospace Engineering department.  Credit only granted for: ENME 674, ENAE652, ENPM652 or ENPM808F."
ENAE654,Mechanics of Composite Structures,"An introduction to structures composed of composite materials and their applications in aerospace.  In particular, filamentary composite materials are studied.  Material types and fabrication techniques, material properties, micromechanics, anisotropic elasticity, introduction to failure concepts."
ENAE663,Introduction to Plasmas for Space Propulsion and Power,Prerequisite: PHYS411; and permission of instructor.  Credit only granted for: ENAE788L or ENAE663.  Formerly: ENAE788L.
ENAE665,Advanced Airbreathing Propulsion,Prerequisite: ENAE674 and ENAE455; or students who have taken courses with comparable content may contact the department.  Restriction: Permission of instructor.
ENAE674,Aerodynamics of Compressible Fluids,Restriction: Permission of ENGR-Aerospace Engineering department.
ENAE682,Hypersonic Aerodynamics,Restriction: Permission of ENGR-Aerospace Engineering department.
ENAE694,Spacecraft Communications,"Brief overview of satellite orbits. Radio frequency communications, noise, and bandwidth limitations. Link budget analysis. Modulation and multiplexing approaches, multiple access systems. Satellite transponder and Earth station technology."
ENAE696,Spacecraft Thermal Design,"Thermal sources in space. Black-body radiation; absorptivity and emissivity; radiative thermal equilibrium. Mutually radiating plates, view angles, and interior conduction. Techniques of spacecraft thermal analysis; approaches to passive and active thermal control."
ENAE743,Applied Nonlinear Control of Aerospace Systems,Prerequisite: ENAE641.
ENAE791,Launch and Entry Vehicle Design,Prerequisite: ENAE601.
ENCE100,Introduction to Civil and Environmental Engineering,"An overview of the department of Civil and Environment Engineering. Students are introduced to the undergraduate curriculum and will be exposed to other undergraduate and graduate students at various points in their program. The course blends panel presentations by seniors and graduate students, faculty and practitioners with a project and book review to be performed by the students."
ENCE100,Introduction to Civil and Environmental Engineering,"An overview of the department of Civil and Environment Engineering. Students are introduced to the undergraduate curriculum and will be exposed to other undergraduate and graduate students at various points in their program. The course blends panel presentations by seniors and graduate students, faculty and practitioners with a project and book review to be performed by the students."
ENCE200,Civil Engineering Computation,"Prerequisite: ENES100, MATH141, and ENES102; and permission of ENGR-Civil & Environmental Engineering department.  Credit only granted for: ENCE200 or ENCE202.  Formerly: ENCE202."
